gene	category	status	lines	risk	modified_today	issues	issue_count
FAM90A5	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM90A7	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM90A8	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM90A9	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAM91A1	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FARSB	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FAXC	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FBRSL1	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FBXL18	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FBXL6	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FBXO27	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
FBXO36	rejected	rejected	13	CRITICAL	True	SHORT(13lines); NO_NUKE_EV; NO_PLDDT; NO_REASON	4
